run_id,coverage,time_s,total_lines
50,60,0.5294,145
100,60,1.061,145
150,60,1.5935,145
200,60,2.1292,145
250,68,2.6575,145
300,69,3.1873,145
350,69,3.7159,145
400,69,4.2453,145
450,69,4.7741,145
500,69,5.3027,145
550,69,5.8315,145
600,69,6.3601,145
650,69,6.89,145
700,69,7.426,145
750,69,7.9591,145
800,70,8.488,145
850,70,9.0173,145
900,70,9.5458,145
950,70,10.0753,145
1000,71,10.6046,145
1050,71,11.1333,145
1100,71,11.6635,145
1150,71,12.1923,145
1200,71,12.7213,145
1250,71,13.2493,145
1300,71,13.779,145
1350,71,14.3074,145
1400,71,14.8495,145
1450,71,15.378,145
1500,71,15.9071,145
1550,71,16.4359,145
1600,71,16.9769,145
1650,71,17.506,145
1700,71,18.0345,145
1750,71,18.564,145
1800,71,19.0935,145
1850,71,19.6226,145
1900,71,20.1518,145
1950,71,20.6802,145
2000,71,21.2099,145
2050,71,21.7391,145
2100,71,22.268,145
2150,71,22.797,145
2200,71,23.3252,145
2250,71,23.8539,145
2300,71,24.3828,145
2350,71,24.9116,145
2400,71,25.4399,145
2450,71,25.9694,145
2500,71,26.4987,145
2550,71,27.0393,145
2600,71,27.5684,145
2650,71,28.0973,145
2700,71,28.6297,145
2750,71,29.1577,145
2800,71,29.6866,145
2850,71,30.2143,145
2900,71,30.7429,145
2950,71,31.2709,145
3000,71,31.8044,145
3050,71,32.3387,145
3100,71,32.8688,145
3150,71,33.3977,145
3200,71,33.9269,145
3250,71,34.4579,145
3300,71,34.9866,145
3350,71,35.5168,145
3400,71,36.0572,145
3450,71,36.5862,145
3500,71,37.1156,145
3550,71,37.6436,145
3600,71,38.1727,145
3650,71,38.7006,145
3700,71,39.2284,145
3750,71,39.7566,145
3800,71,40.2849,145
3850,71,40.8131,145
3900,71,41.3414,145
3950,71,41.8704,145
4000,71,42.399,145
4050,71,42.9275,145
4100,71,43.456,145
4150,71,43.9839,145
4200,71,44.5118,145
4250,71,45.0398,145
4300,71,45.5687,145
4350,71,46.0963,145
4400,71,46.6255,145
4450,71,47.1543,145
4500,71,47.6829,145
4550,71,48.2112,145
4600,71,48.7396,145
4650,71,49.2675,145
4700,71,49.7965,145
4750,71,50.3244,145
4800,71,50.8547,145
4850,71,51.3844,145
4900,71,51.9138,145
4950,71,52.4517,145
5000,71,52.9793,145
5050,71,53.5082,145
5100,71,54.0361,145
5150,71,54.565,145
5200,71,55.0927,145
5250,71,55.6206,145
5300,71,56.1489,145
5350,71,56.6781,145
5400,71,57.2073,145
5450,71,57.7366,145
5500,71,58.2639,145
5550,71,58.7915,145
5600,71,59.319,145
5650,71,59.8471,145
5700,71,60.3746,145
5750,71,60.9018,145
5800,71,61.4295,145
5850,71,61.9575,145
5900,71,62.4852,145
5950,71,63.0126,145
6000,71,63.5404,145
6050,71,64.0679,145
6100,71,64.5962,145
6150,71,65.1239,145
6200,71,65.6513,145
6250,71,66.1785,145
6300,71,66.7059,145
6350,71,67.2444,145
6400,71,67.7724,145
6450,71,68.3,145
6500,71,68.8278,145
6550,71,69.3552,145
6600,71,69.883,145
6650,71,70.4104,145
6700,71,70.9374,145
6750,71,71.4649,145
6800,71,71.9924,145
6850,71,72.5204,145
6900,71,73.0476,145
6950,71,73.5755,145
7000,71,74.1031,145
7050,71,74.6323,145
7100,71,75.1611,145
7150,71,75.6884,145
7200,71,76.216,145
7250,71,76.7445,145
7300,71,77.2722,145
7350,71,77.8005,145
7400,71,78.3275,145
7450,71,78.8552,145
7500,71,79.3824,145
7550,71,79.9112,145
7600,71,80.4387,145
7650,71,80.9666,145
7700,71,81.4941,145
7750,71,82.0229,145
7800,71,82.5506,145
7850,71,83.079,145
7900,71,83.6064,145
7950,71,84.1336,145
8000,71,84.6612,145
8050,71,85.1887,145
8100,71,85.7164,145
8150,71,86.2439,145
8200,71,86.7717,145
8250,71,87.2991,145
8300,71,87.8279,145
8350,71,88.3555,145
8400,71,88.886,145
8450,71,89.4137,145
8500,71,89.941,145
8550,71,90.4689,145
8600,71,90.996,145
8650,71,91.5234,145
8700,71,92.0514,145
8750,71,92.5797,145
8800,71,93.1071,145
8850,71,93.6345,145
8900,71,94.1615,145
8950,71,94.6895,145
9000,71,95.2168,145
9050,71,95.7442,145
9100,71,96.2715,145
9150,71,96.7988,145
9200,71,97.3265,145
9250,71,97.8552,145
9300,71,98.3823,145
9350,71,98.9099,145
9400,71,99.4373,145
9450,71,99.9658,145
9500,71,100.4935,145
9550,71,101.021,145
9600,71,101.5481,145
9650,71,102.0757,145
9700,71,102.6041,145
9750,71,103.1328,145
9800,71,103.6602,145
9850,71,104.1875,145
9900,71,104.715,145
9950,71,105.2417,145
10000,71,105.7695,145
10050,71,106.2967,145
10100,71,106.8245,145
10150,71,107.3524,145
10200,71,107.8807,145
10250,71,108.4086,145
10300,71,108.9356,145
10350,71,109.4633,145
10400,71,109.9914,145
10450,71,110.5193,145
10500,71,111.046,145
10550,71,111.5734,145
10600,71,112.1009,145
10650,71,112.6292,145
10700,71,113.157,145
10750,71,113.6953,145
10800,71,114.2229,145
10850,71,114.7504,145
10900,71,115.2774,145
10950,71,115.8051,145
11000,71,116.3322,145
11050,71,116.8627,145
11100,71,117.39,145
11150,71,117.9184,145
11200,71,118.4468,145
11250,71,118.9744,145
11300,71,119.5015,145
11350,71,120.0296,145
11400,71,120.5566,145
11450,71,121.0842,145
11500,71,121.6111,145
11550,71,122.1387,145
11600,71,122.6662,145
11650,71,123.1941,145
11700,71,123.7217,145
11750,71,124.2492,145
11800,71,124.7766,145
11850,71,125.3037,145
11900,71,125.8314,145
11950,71,126.3587,145
12000,71,126.8864,145
12050,71,127.4137,145
12100,71,127.941,145
12150,71,128.4691,145
12200,71,128.9964,145
12250,71,129.5253,145
12300,71,130.0531,145
12350,71,130.5805,145
12400,71,131.1078,145
12450,71,131.6364,145
12500,71,132.1635,145
12550,71,132.6909,145
12600,71,133.2177,145
12650,71,133.7467,145
12700,71,134.2742,145
12750,71,134.8016,145
12800,71,135.3289,145
12850,71,135.8567,145
12900,71,136.3838,145
12950,71,136.9115,145
13000,71,137.4384,145
13050,71,137.9665,145
13100,71,138.4937,145
13150,71,139.0221,145
13200,71,139.5493,145
13250,71,140.0769,145
13300,71,140.6042,145
13350,71,141.1319,145
13400,71,141.6594,145
13450,71,142.1864,145
13500,71,142.7138,145
13550,71,143.2413,145
13600,71,143.7688,145
13650,71,144.2964,145
13700,71,144.8244,145
13750,71,145.3523,145
13800,71,145.8795,145
13850,71,146.4072,145
13900,71,146.9368,145
13950,71,147.4646,145
14000,71,147.9915,145
14050,71,148.519,145
14100,71,149.0469,145
14150,71,149.5753,145
14200,71,150.1025,145
14250,71,150.6306,145
14300,71,151.158,145
14350,71,151.6856,145
14400,71,152.2124,145
14450,71,152.7404,145
14500,71,153.2682,145
14550,71,153.7959,145
14600,71,154.3228,145
14650,71,154.8516,145
14700,71,155.378,145
14750,71,155.9056,145
14800,71,156.434,145
14850,71,156.9617,145
14900,71,157.4894,145
14950,71,158.017,145
15000,71,158.5444,145
15050,71,159.0724,145
15100,71,159.6,145
15150,71,160.1276,145
15200,71,160.6662,145
15250,71,161.1936,145
15300,71,161.721,145
15350,71,162.2485,145
15400,71,162.776,145
15450,71,163.3032,145
15500,71,163.8307,145
15550,71,164.3577,145
15600,71,164.8852,145
15650,73,165.4241,145
15700,73,165.9516,145
15750,73,166.4794,145
15800,73,167.0067,145
15850,73,167.5347,145
15900,73,168.0616,145
15950,73,168.5895,145
16000,73,169.1163,145
16050,73,169.6441,145
16100,73,170.1714,145
16150,73,170.6989,145
16200,73,171.2261,145
16250,73,171.7536,145
16300,73,172.2804,145
16350,73,172.8077,145
16400,73,173.3346,145
16450,73,173.8622,145
16500,73,174.3887,145
16550,73,174.9163,145
16600,73,175.444,145
16650,73,175.9727,145
16700,73,176.4992,145
16750,73,177.0264,145
16800,73,177.5535,145
16850,73,178.0814,145
16900,73,178.6086,145
16950,73,179.1356,145
17000,73,179.6632,145
17050,73,180.191,145
17100,73,180.7193,145
17150,73,181.2469,145
17200,73,181.7737,145
17250,73,182.301,145
17300,73,182.8284,145
17350,73,183.3553,145
17400,73,183.8825,145
17450,73,184.4104,145
17500,73,184.9376,145
17550,73,185.4659,145
17600,73,185.9932,145
17650,73,186.5208,145
17700,73,187.0478,145
17750,73,187.5754,145
17800,73,188.1022,145
17850,73,188.6302,145
17900,73,189.1569,145
17950,73,189.6857,145
18000,73,190.2131,145
18050,73,190.7414,145
18100,73,191.2683,145
18150,73,191.7966,145
18200,73,192.3238,145
18250,73,192.8518,145
18300,73,193.3788,145
18350,73,193.9063,145
18400,73,194.4339,145
18450,73,194.9614,145
18500,73,195.4905,145
18550,73,196.0176,145
18600,73,196.5451,145
18650,73,197.0726,145
18700,73,197.5998,145
18750,73,198.1274,145
18800,73,198.6551,145
18850,73,199.183,145
18900,73,199.7107,145
18950,73,200.2379,145
19000,73,200.7661,145
19050,73,201.2937,145
19100,73,201.8215,145
19150,73,202.3489,145
19200,73,202.8762,145
19250,73,203.4035,145
19300,73,203.9318,145
19350,73,204.4594,145
19400,73,204.9863,145
19450,73,205.5146,145
19500,73,206.0419,145
19550,73,206.5696,145
19600,73,207.0966,145
19650,73,207.6246,145
19700,73,208.152,145
19750,73,208.6797,145
19800,73,209.2065,145
19850,73,209.7344,145
19900,73,210.2615,145
19950,73,210.7909,145
20000,73,211.318,145
20050,73,211.8458,145
20100,73,212.3734,145
20150,73,212.9009,145
20200,73,213.4284,145
20250,73,213.9559,145
20300,73,214.483,145
20350,73,215.0111,145
20400,73,215.5392,145
20450,73,216.0671,145
20500,73,216.5939,145
20550,73,217.122,145
20600,73,217.652,145
20650,73,218.1797,145
20700,73,218.7074,145
20750,73,219.2345,145
20800,73,219.7621,145
20850,73,220.2905,145
20900,73,220.8187,145
20950,73,221.3469,145
21000,73,221.8741,145
21050,73,222.4017,145
21100,73,222.9289,145
21150,73,223.4567,145
21200,73,223.9843,145
21250,73,224.5115,145
21300,73,225.0388,145
21350,73,225.5667,145
21400,73,226.0939,145
21450,73,226.6324,145
21500,73,227.1599,145
21550,73,227.6879,145
21600,73,228.2147,145
21650,73,228.7416,145
21700,73,229.269,145
21750,73,229.7976,145
21800,73,230.3246,145
21850,73,230.8529,145
21900,73,231.3805,145
21950,73,231.9083,145
22000,73,232.4359,145
22050,73,232.9636,145
22100,73,233.4905,145
22150,73,234.0184,145
22200,73,234.5456,145
22250,73,235.0735,145
22300,73,235.6018,145
22350,73,236.1301,145
22400,73,236.6578,145
22450,73,237.1852,145
22500,73,237.7128,145
22550,73,238.2406,145
22600,73,238.7681,145
22650,73,239.2952,145
22700,73,239.8231,145
22750,73,240.3522,145
22800,73,240.8797,145
22850,73,241.4076,145
22900,73,241.9345,145
22950,73,242.4625,145
23000,73,242.9899,145
23050,73,243.5179,145
23100,73,244.0452,145
23150,73,244.5729,145
23200,73,245.1006,145
23250,73,245.63,145
23300,73,246.1582,145
23350,73,246.6854,145
23400,73,247.2127,145
23450,73,247.7412,145
23500,73,248.2682,145
23550,73,248.7964,145
23600,73,249.3232,145
23650,73,249.8645,145
23700,73,250.3922,145
23750,73,250.92,145
23800,73,251.4477,145
23850,73,251.9752,145
23900,73,252.5021,145
23950,73,253.0288,145
24000,73,253.571,145
24050,73,254.0981,145
24100,73,254.6255,145
24150,73,255.153,145
24200,73,255.6823,145
24250,73,256.2099,145
24300,73,256.7372,145
24350,73,257.2644,145
24400,73,257.7922,145
24450,73,258.3195,145
24500,73,258.8472,145
24550,73,259.3744,145
24600,73,259.9017,145
24650,73,260.4297,145
24700,73,260.9577,145
24750,73,261.4857,145
24800,73,262.0125,145
24850,73,262.5407,145
24900,73,263.0675,145
24950,73,263.5956,145
25000,73,264.1226,145
25050,73,264.6505,145
25100,73,265.1774,145
25150,73,265.7061,145
25200,73,266.233,145
25250,73,266.7614,145
25300,73,267.2889,145
25350,73,267.8166,145
25400,73,268.344,145
25450,73,268.8716,145
25500,73,269.3991,145
25550,73,269.927,145
25600,73,270.4542,145
25650,73,270.9822,145
25700,73,271.5204,145
25750,73,272.0492,145
25800,73,272.5768,145
25850,73,273.104,145
25900,73,273.6313,145
25950,73,274.1584,145
26000,73,274.6856,145
26050,73,275.2133,145
26100,73,275.7407,145
26150,73,276.2695,145
26200,73,276.7974,145
26250,73,277.3247,145
26300,73,277.852,145
26350,73,278.3796,145
26400,73,278.9071,145
26450,73,279.4356,145
26500,73,279.9622,145
26550,73,280.4901,145
26600,73,281.0173,145
26650,73,281.5456,145
26700,73,282.0729,145
26750,73,282.6005,145
26800,73,283.1273,145
26850,73,283.6551,145
26900,73,284.1824,145
26950,73,284.7102,145
27000,73,285.2375,145
27050,73,285.7664,145
27100,73,286.2931,145
27150,73,286.822,145
27200,73,287.3491,145
27250,73,287.8866,145
27300,73,288.4143,145
27350,73,288.9419,145
